Mass(Msol)       Age (Myr)
0.04     5.4954087385762485
0.05     0.15848931924611143
0.06     0.009549925860214359
0.07     0.1995262314968879
0.07     0.0023442288153199225
0.07     0.3890451449942805
0.07     0.239883291901949
0.07     0.0019054607179632462
0.08     0.13803842646028838
0.08     0.1698243652461746
0.08     2.39883291901949
0.08     0.16218100973589297
0.09     0.08128305161640995
0.09     0.001071519305237606
0.09     2.089296130854041
0.09     0.08709635899560814
0.09     0.0012882495516931337
0.09     0.1122018454301963
0.09     2.1877616239495516
0.09     1.9054607179632483
0.09     2.089296130854041
0.09     2.089296130854041
0.09     0.09332543007969905
0.10     0.5128613839913648
0.10     0.06918309709189363
0.10     0.07585775750291836
0.10     0.03311311214825908
0.10     0.06165950018614822
0.10     1.1748975549395304
0.10     0.06606934480075964
0.10     0.28840315031266056
0.10     0.7762471166286912
0.10     0.2754228703338169
0.10     0.38018939632056126
0.10     1.0471285480508985
0.10     0.2691534803926914
0.11     2.2387211385683377
0.11     0.24547089156850285
0.11     0.12022644346174131
0.11     0.14125375446227553
0.11     0.1778279410038923
0.11     0.05888436553555884
0.11     0.05128613839913648
0.11     0.024547089156850284
0.11     2.4547089156850284
0.11     0.022908676527677748
0.11     0.05011872336272725
0.11     0.046773514128719815
0.11     0.03890451449942805
0.11     0.1288249551693135
0.11     2.754228703338169
0.11     0.0026302679918953813
0.11     0.048977881936844665
0.11     0.030199517204020192
0.11     0.05248074602497723
0.11     0.05128613839913648
0.11     2.39883291901949
0.11     0.20417379446695275
0.11     2.290867652767775
0.11     2.39883291901949
0.11     2.6302679918953813
0.11     0.20417379446695275
0.11     0.03090295432513592
0.11     0.19498445997580455
0.12     0.034673685045253165
0.12     0.07244359600749906
0.12     1.7782794100389228
0.12     1.288249551693135
0.12     2.0417379446695274
0.12     1.5488166189124828
0.12     2.691534803926914
0.12     0.06918309709189363
0.12     1.9952623149688788
0.12     1.698243652461746
0.12     0.07762471166286912
0.12     0.08317637711026708
0.12     0.34673685045253166
0.12     2.570395782768865
0.12     1.8197008586099825
0.12     0.07762471166286912
0.12     0.04570881896148752
0.12     3.1622776601683795
0.13     0.25118864315095824
0.13     0.407380277804113
0.13     2.1877616239495516
0.13     2.290867652767775
0.13     1.7378008287493762
0.13     0.2754228703338169
0.13     0.8912509381337459
0.13     0.38018939632056126
0.13     0.04168693834703355
0.13     0.363078054770101
0.13     0.04265795188015926
0.13     0.8912509381337459
0.13     1.9498445997580456
0.13     0.25703957827688645
0.13     0.26302679918953814
0.13     0.03981071705534969
0.13     0.06165950018614822
0.13     2.39883291901949
0.13     0.002187761623949552
0.13     0.26302679918953814
0.13     0.05128613839913648
0.13     0.046773514128719815
0.13     2.089296130854041
0.13     0.2754228703338169
0.13     1.0
0.13     1.0232929922807537
0.13     2.0417379446695274
0.13     1.1748975549395304
0.13     1.9498445997580456
0.13     0.057543993733715666
0.13     2.344228815319923
0.13     2.2387211385683377
0.13     1.698243652461746
0.13     1.0
0.13     0.38018939632056126
0.13     0.407380277804113
0.14     0.9549925860214369
0.14     1.5488166189124828
0.14     1.288249551693135
0.14     0.23442288153199228
0.14     1.584893192461114
0.14     0.15488166189124827
0.14     0.023988329190194897
0.14     0.22387211385683378
0.14     0.00588843655355589
0.14     0.02187761623949552
0.14     0.19498445997580455
0.14     0.02089296130854041
0.14     0.23442288153199228
0.14     0.06606934480075964
0.14     0.01096478196143185
0.14     0.09772372209558111
0.14     0.1
0.14     0.01
0.14     0.02818382931264455
0.14     1.584893192461114
0.14     0.16218100973589297
0.14     0.007413102413009177
0.14     1.3489628825916533
0.14     1.1748975549395304
0.14     0.006025595860743574
0.14     0.0017782794100389228
0.14     0.05888436553555884
0.14     0.10232929922807536
0.14     0.007943282347242814
0.14     0.004677351412871981
0.14     0.1
0.14     1.1481536214968817
0.14     1.584893192461114
0.14     0.08511380382023759
0.14     1.584893192461114
0.14     0.023988329190194897
0.14     0.11481536214968817
0.14     0.24547089156850285
0.14     0.09120108393559097
0.14     1.584893192461114
0.14     0.057543993733715666
0.14     0.1698243652461746
0.14     0.08912509381337459
0.14     1.4791083881682072
0.14     1.3489628825916533
0.14     0.06606934480075964
0.14     0.1698243652461746
0.14     0.021379620895022326
0.14     0.2089296130854041
0.14     1.122018454301963
0.14     0.22387211385683378
0.14     0.002818382931264455
0.15     0.0162181009735893
0.15     0.363078054770101
0.15     0.008511380382023767
0.15     0.13803842646028838
0.15     0.036307805477010104
0.15     0.022387211385683378
0.15     0.18197008586099825
0.15     0.0009332543007969915
0.15     0.024547089156850284
0.15     0.03090295432513592
0.15     0.01584893192461114
0.15     0.030199517204020192
0.15     0.15848931924611143
0.15     0.20417379446695275
0.15     0.05128613839913648
0.15     0.014791083881682071
0.15     0.017378008287493762
0.15     0.3715352290971728
0.15     2.570395782768865
0.15     0.022387211385683378
0.15     0.053703179637025325
0.15     2.344228815319923
0.15     0.006456542290346556
0.15     0.3981071705534969
0.15     0.4677351412871981
0.15     0.018197008586099826
0.15     0.046773514128719815
0.15     0.630957344480193
0.15     0.053703179637025325
0.15     0.009332543007969915
0.15     0.025118864315095822
0.15     0.239883291901949
0.15     0.030199517204020192
0.15     0.05248074602497723
0.15     0.8912509381337459
0.15     2.570395782768865
0.15     0.7943282347242822
0.15     2.951209226666384
0.15     0.00630957344480193
0.15     2.344228815319923
0.15     0.3715352290971728
0.15     0.053703179637025325
0.15     0.4466835921509635
0.15     0.18197008586099825
0.15     0.02691534803926914
0.15     0.7585775750291835
0.15     0.053703179637025325
0.15     0.2754228703338169
0.15     0.004365158322401661
0.15     0.03388441561392028
0.15     2.754228703338169
0.16     1.6595869074375598
0.16     0.021379620895022326
0.16     0.13489628825916533
0.16     0.06760829753919818
0.16     0.038018939632056124
0.16     1.8197008586099825
0.16     1.5488166189124828
0.16     0.005128613839913648
0.16     0.03311311214825908
0.16     1.3489628825916533
0.16     0.037153522909717275
0.16     0.01995262314968879
0.16     0.023442288153199226
0.16     0.13489628825916533
0.16     0.009332543007969915
0.16     0.026302679918953815
0.16     0.13182567385564073
0.16     1.1481536214968817
0.16     0.1230268770812381
0.16     0.012302687708123811
0.16     0.06025595860743581
0.16     5.754399373371567
0.16     7.413102413009177
0.16     0.13489628825916533
0.16     0.03235936569296281
0.16     0.030199517204020192
0.16     1.8197008586099825
0.16     0.11481536214968817
0.16     0.01122018454301963
0.16     0.024547089156850284
0.17     1.1481536214968817
0.17     3.890451449942805
0.17     0.018620871366628655
0.17     0.053703179637025325
0.17     0.07762471166286912
0.17     0.04570881896148752
0.17     1.1481536214968817
0.17     1.3182567385564075
0.17     19.498445997580454
0.17     1.071519305237607
0.17     0.05623413251903491
0.17     0.01778279410038923
0.17     0.008709635899560805
0.17     0.037153522909717275
0.17     1.3182567385564075
0.17     3.890451449942805
0.17     1.122018454301963
0.17     1.1481536214968817
0.17     1.288249551693135
0.17     0.037153522909717275
0.17     5.1286138399136485
0.17     1.2022644346174132
0.17     0.9772372209558111
0.17     0.07943282347242822
0.18     0.09549925860214369
0.18     0.19498445997580455
0.18     0.239883291901949
0.18     0.00707945784384138
0.18     0.1778279410038923
0.18     0.12589254117941662
0.18     0.20417379446695275
0.18     2.1379620895022327
0.18     0.10471285480508985
0.18     0.1122018454301963
0.18     0.022387211385683378
0.18     0.007943282347242814
0.18     2.2387211385683377
0.18     0.5370317963702532
0.18     0.01698243652461746
0.18     0.7585775750291835
0.18     1.9054607179632483
0.18     2.754228703338169
0.18     0.12022644346174131
0.18     0.007943282347242814
0.18     0.11748975549395303
0.18     0.1995262314968879
0.18     0.20417379446695275
0.18     2.1379620895022327
0.18     0.02691534803926914
0.19     0.004168693834703355
0.19     0.048977881936844665
0.19     0.013182567385564075
0.19     0.04168693834703355
0.19     0.0407380277804113
0.19     0.0014791083881682072
0.19     1.3489628825916533
0.19     0.07413102413009177
0.19     0.018620871366628655
0.19     0.02187761623949552
0.19     1.698243652461746
0.19     1.4454397707459279
0.19     0.06165950018614822
0.19     6.760829753919819
0.20     0.057543993733715666
0.20     0.8709635899560815
0.20     0.239883291901949
0.20     0.1122018454301963
0.20     1.0471285480508985
0.20     1.122018454301963
0.20     1.0471285480508985
0.20     1.122018454301963
0.20     0.12589254117941662
0.20     0.18197008586099825
0.20     0.018620871366628655
0.20     4.168693834703355
0.20     0.363078054770101
0.20     0.18620871366628655
0.20     0.1513561248436207
0.20     0.5495408738576248
0.20     0.007943282347242814
0.20     0.07244359600749906
0.20     0.03981071705534969
0.20     1.288249551693135
0.20     0.002754228703338166
0.20     0.00223872113856834
0.20     0.03388441561392028
0.20     0.10715193052376071
0.20     0.9332543007969905
0.20     0.16595869074375597
0.20     0.0162181009735893
0.20     0.009772372209558112
0.20     0.0022908676527677724
0.20     0.25118864315095824
0.20     0.019054607179632484
0.20     0.018620871366628655
0.20     1.2022644346174132
0.20     0.8709635899560815
0.20     4.265795188015925
0.20     1.2302687708123812
0.20     0.9332543007969905
0.20     1.1748975549395304
0.20     1.288249551693135
0.20     1.0471285480508985
0.20     0.28840315031266056
0.20     0.9549925860214369
0.20     0.239883291901949
0.20     0.05248074602497723
0.20     0.09332543007969905
0.20     1.096478196143185
0.20     0.19054607179632482
0.21     0.10232929922807536
0.21     3.3884415613920273
0.21     2.754228703338169
0.21     0.5623413251903491
0.21     3.090295432513592
0.21     0.7762471166286912
0.21     0.15488166189124827
0.21     0.10715193052376071
0.21     0.05128613839913648
0.21     0.7079457843841374
0.21     0.7943282347242822
0.21     0.008709635899560805
0.21     0.1513561248436207
0.21     0.645654229034655
0.21     0.008128305161640995
0.21     0.030199517204020192
0.21     3.090295432513592
0.21     0.08317637711026708
0.21     0.6606934480075964
0.21     0.1
0.21     0.1
0.21     0.13489628825916533
0.21     2.1379620895022327
0.21     0.7585775750291835
